Semi-sup | Epoch 300/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8169
Semi-sup | Epoch 300/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8858
Semi-sup | Epoch 400/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8194
Semi-sup | Epoch 400/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8879
Semi-sup | Epoch 400/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.826
Semi-sup | Epoch 400/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8893
Semi-sup | Epoch 400/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8314
Semi-sup | Epoch 400/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8905
Semi-sup | Epoch 400/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.829
Semi-sup | Epoch 400/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8932
Semi-sup | Epoch 400/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8275
Semi-sup | Epoch 400/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8939
Semi-sup | Epoch 500/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8242
Semi-sup | Epoch 500/500, pretrain_bs 1024, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8916
Semi-sup | Epoch 500/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.829
Semi-sup | Epoch 500/500, pretrain_bs 128, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8942
Semi-sup | Epoch 500/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8368
Semi-sup | Epoch 500/500, pretrain_bs 256, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8977
Semi-sup | Epoch 500/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.834
Semi-sup | Epoch 500/500, pretrain_bs 512, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8955
Semi-sup | Epoch 500/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.01, test_acc 0.8354
Semi-sup | Epoch 500/500, pretrain_bs 64, Temp 0.5, LR 0.001, label_perc 0.1, test_acc 0.8967
